latitude,longitude,magnitude
43.648425800,-79.393259000,9004
43.649152700,-79.390765000,8435
43.647301100,-79.392799000,10387
43.667509800,-79.399815000,12249
43.642707900,-79.393895000,19268
43.645450500,-79.395002000,17090
43.646721800,-79.395533000,16256
43.647901800,-79.396023000,14558
43.648731500,-79.396364000,15709
43.652937100,-79.398015000,11107
43.655859000,-79.399205000,6586
43.657939900,-79.400059000,14353
43.663064600,-79.402104000,17579
43.666655100,-79.403803000,16003
43.670234700,-79.360193000,17633
43.668659600,-79.317522200,11544
43.667827100,-79.322316000,8142
43.667576700,-79.326601000,11219
43.666733700,-79.331711000,7585
43.666163300,-79.334282000,12020
43.665391000,-79.339234000,10320
43.664824500,-79.341597000,13161
43.663931000,-79.343869000,9975
43.663184900,-79.348202000,9276
43.662445600,-79.351357000,11422
43.661190200,-79.358131000,14073
43.676196400,-79.358828000,19400
43.673835500,-79.368120000,16611
43.647197300,-79.403991000,14588
43.640732000,-79.401378000,12726
43.646453000,-79.403717000,11748
43.635709200,-79.403524000,20230
43.656469000,-79.407705000,14329
43.665504500,-79.316201000,12217
43.661559800,-79.329482000,12068
43.661515200,-79.409748000,15337
43.668148100,-79.412374000,19364
43.673140000,-79.414344000,20173
43.679812300,-79.416990000,17065
43.687185000,-79.419939000,17157
43.691917400,-79.421873000,19676
43.705204700,-79.426346000,17781
43.707900800,-79.427022000,20567
43.710496000,-79.427686000,18617
43.712327100,-79.428131000,15498
43.715980600,-79.428973000,19333
43.723083300,-79.430627000,17368
43.724954800,-79.431053000,17900
43.726958100,-79.431513000,12621
43.731534000,-79.432603000,18391
43.733996500,-79.433194000,19525
43.656171100,-79.370091000,9862
43.737360900,-79.434006000,25136
43.665132000,-79.411205000,17508
43.663460400,-79.418837000,9761
43.662501100,-79.423253700,8690
43.661163000,-79.429430900,14725
43.659876500,-79.435333000,20038
43.658346500,-79.442714000,17274
43.656307900,-79.452406000,19755
43.654685600,-79.459966000,24538
43.653515400,-79.465232000,13028
43.652502400,-79.470007000,12170
43.651147800,-79.476227000,14213
43.650263400,-79.480401700,13640
43.649331200,-79.484452000,17570
43.648304000,-79.485695000,18595
43.649642700,-79.495413000,15806
43.650062900,-79.499278000,13797
43.648666500,-79.505433000,21167
43.647343800,-79.511352000,23173
43.644658600,-79.523399000,25266
43.648028900,-79.508356000,13796
43.661970900,-79.425612200,15518
43.677544600,-79.351941000,10312
43.677970400,-79.349668000,11526
43.678417500,-79.347315000,10706
43.678903500,-79.344862000,18115
43.679843300,-79.340118000,13163
43.680404900,-79.337270000,13674
43.681482400,-79.332340000,15446
43.683397900,-79.323565000,19534
43.684655800,-79.317708000,11852
43.685671200,-79.312749000,19125
43.686685600,-79.308555000,12852
43.688158700,-79.301805000,15646
43.689340800,-79.296806000,13932
43.691236600,-79.288311000,21459
43.692320800,-79.283369000,16757
43.693685100,-79.277105000,13682
43.694367800,-79.273638000,16187
43.696986800,-79.263990000,10152
43.692865700,-79.273039000,11986
43.686911500,-79.286560000,18821
43.685154300,-79.294787000,11353
43.683970000,-79.300173000,16181
43.682669500,-79.306033000,8606
43.680857800,-79.310780000,16958
43.678078100,-79.315011000,5543
43.675329200,-79.320299000,10215
43.672893600,-79.319285000,10418
43.670914700,-79.327997000,12563
43.669218100,-79.335596000,11491
43.668130600,-79.340405000,9482
43.667623300,-79.342753000,14270
43.667097500,-79.345175000,9363
43.665479300,-79.352604000,10982
43.714791300,-79.260862000,9900
43.700172900,-79.272720000,8898
43.724859000,-79.253982000,12456
43.735179700,-79.247409000,15225
43.737096300,-79.246256000,22844
43.755537900,-79.245446000,28053
43.674462100,-79.399843000,17560
43.675791900,-79.402557000,15220
43.676832700,-79.410337000,19157
43.676696900,-79.415765000,20361
43.675577500,-79.423041000,12464
43.674695800,-79.430924000,12077
43.674395100,-79.433746000,15267
43.672983800,-79.440961000,19252
43.671558800,-79.448265000,13178
43.671083500,-79.451069000,13876
43.671091300,-79.462297000,8478
43.716862700,-79.259873000,20237
43.753277000,-79.542691300,14923
43.682163300,-79.471576000,16248
43.681591000,-79.476745000,24380
43.743204452,-79.424154460,13653
43.761852000,-79.215817000,18423
43.756654800,-79.240202000,17430
43.710300200,-79.471898000,19469
43.734534000,-79.355951000,28979
43.736490700,-79.346527000,21144
43.737159300,-79.343417000,30555
43.737688400,-79.340967000,22686
43.740785100,-79.324654000,28290
43.699061722,-79.258600473,8736
43.741182400,-79.319245000,27922
43.742111600,-79.309773000,39515
43.743220000,-79.304627000,46260
43.745377600,-79.294750000,36985
43.747500000,-79.284820000,28213
43.748536389,-79.279718846,18751
43.749540000,-79.274930000,33852
43.751570000,-79.265030000,28584
43.753490000,-79.255361000,28408
43.754300000,-79.251530000,16451
43.757730000,-79.235250000,27182
43.707040000,-79.268110000,12128
43.697260000,-79.274810000,15485
43.758170000,-79.233060000,18245
43.759810000,-79.225310000,25775
43.724400000,-79.405600000,16248
43.720860000,-79.422460000,16089
43.719290000,-79.429760000,22429
43.717480000,-79.437700000,15584
43.715600000,-79.446500000,26015
43.714070000,-79.454700000,29053
43.711480000,-79.466580000,26171
43.708710000,-79.478050000,28931
43.706390000,-79.487670000,21351
43.702890000,-79.503770000,25776
43.700140000,-79.516240000,15780
43.698160000,-79.523280000,17799
43.699860000,-79.534200000,18293
43.697080000,-79.546720000,31673
43.694300000,-79.558650000,21477
43.693406808,-79.562481344,14048
43.691600000,-79.570840000,18377
43.700300000,-79.428810000,13794
43.681280000,-79.357670000,9311
43.683910000,-79.356940000,14845
43.688540000,-79.355240000,10153
43.693230000,-79.350260000,20064
43.694710000,-79.343090000,18634
43.695570000,-79.339630000,27109
43.697770000,-79.329470000,19888
43.700150000,-79.319050000,30375
43.705390000,-79.312850000,25974
43.712470000,-79.307440000,14156
43.723380000,-79.302070000,27980
43.724930000,-79.300470000,29192
43.724740000,-79.302640000,33095
43.725660000,-79.297470000,33335
43.717030000,-79.349900000,35069
43.720500000,-79.338880000,45185
43.726020000,-79.313490000,29625
43.727870000,-79.287610000,35905
43.729380000,-79.280700000,19797
43.729990000,-79.277840000,39450
43.731480000,-79.271200000,18929
43.732240000,-79.267970000,29069
43.734550000,-79.258100000,30334
43.736720000,-79.248060000,27971
43.743220000,-79.218930000,18188
43.694140000,-79.457250000,11503
43.693020000,-79.462190000,18790
43.690970000,-79.471490000,14227
43.690170000,-79.475010000,23992
43.686980000,-79.489510000,22533
43.690840000,-79.475390000,15879
43.706940000,-79.305830000,13632
43.708772600,-79.295958400,28021
43.709870000,-79.290930000,24239
43.712040000,-79.280990000,27581
43.714140000,-79.271100000,22253
43.716510000,-79.261320000,18913
43.718730000,-79.251260000,13859
43.676920000,-79.355080000,9921
43.685320000,-79.407890000,11716
43.684620000,-79.411160000,17770
43.683140000,-79.418280000,22508
43.758190000,-79.410130000,39866
43.713560000,-79.399800000,16438
43.655240000,-79.385990000,10171
43.682760000,-79.420150000,14087
43.681700000,-79.425690000,13380
43.680280000,-79.432510000,5493
43.679580000,-79.435780000,15864
43.677950000,-79.443060000,18027
43.676280000,-79.450580000,9082
43.675340000,-79.454760000,17142
43.674210000,-79.460000000,9576
43.673530000,-79.463020000,16915
43.672540000,-79.467620000,23692
43.668970000,-79.483550000,17252
43.667210000,-79.491740000,23568
43.665520000,-79.499190000,18883
43.720870000,-79.241420000,12683
43.688960000,-79.389878000,12494
43.768440000,-79.186200000,15697
43.699290000,-79.519860000,13616
43.723200000,-79.411310000,14040
43.766220000,-79.196420000,18323
43.746100000,-79.291250000,22741
43.725400000,-79.416870000,19834
43.697953000,-79.424341000,16511
43.695290000,-79.423220000,15207
43.686230000,-79.393310000,14736
43.747280000,-79.407440000,27056
43.665910000,-79.407430000,8340
